SITEVISITID,METHOD,OBS_YEAR,REGION,ISLAND,SITE,Site_Microbe,INHABITATION,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,DEPTH(m),HARD CORAL (%),CCA (%),Calcifying (%),Macroalgae (%),Turf Algae (%),Fleshy (%),SAND (%),Viral abundance (VLP /ml),Bacterial abundance (Cells/ml),VLP:Microbe Ratio,Herbivore (g.m-2),Invertivore (g.m-2),Manta (g.m-2),Other (g.m-2),Planktivore (g.m-2),Piscivore (g.m-2),Shark (g.m-2),Dissolved inorganic carbon,Total Alkalinity,Temperature (DegC)
4896,nSPC,2012,PRIAs,Kingman,KIN-00193,KIN05,Uninhabited,5/9/12,Forereef,Mid,6.38289428,-162.4387349,16.55,25,10,35,10,27.5,37.5,20,8759354.291,1485724.727,5.8956778,17.46741138,15.43981265,0,0,24.42453593,19.85299167,0,1980.355411,2275.69,27.1509
4912,nSPC,2012,PRIAs,Kingman,KIN-00197,KIN17,Uninhabited,5/10/12,Forereef,Mid,6.38925237,-162.4714142,16.75,20,12.5,32.5,11.5,38.5,50,7.5,5184157.68,1855842.4,2.793425606,20.32602441,19.09402429,0,0,5.370509038,41.57266386,24.82161928,1984.796014,2284.62,27.4732
4897,nSPC,2012,PRIAs,Kingman,KIN-00211,KIN07,Uninhabited,5/9/12,Forereef,Mid,6.39926791,-162.33775,15.45,27.5,17.5,45,5,35,40,0,7405049.153,1403308.471,5.276850606,16.72403392,16.05278156,0,0,35.39437162,88.70910674,203.1170573,1993.188968,2274.63,27.1095
4899,nSPC,2012,PRIAs,Kingman,KIN-00208,KIN08,Uninhabited,5/9/12,Forereef,Mid,6.42456164,-162.3660932,15.3,17.5,15,32.5,5,30,35,0,6831177.675,1193012.875,5.725988225,8.118804439,7.357782073,0,0,71.83280773,99.89401163,106.9906193,1982.132552,2269.87,27.2492
4900,nSPC,2012,PRIAs,Kingman,KIN-00205,KIN10,Uninhabited,5/9/12,Forereef,Mid,6.43696049,-162.3852305,9.2,35,15,50,7.5,32,39.5,0,7261662.036,462160.6061,15.71242105,14.92795162,8.128249741,0,0,10.17385579,81.75921482,126.7702056,1996.697622,2300.43,27.2553
6792,nSPC,2014,MARIAN,Saipan,SAI-00545,SAI807,Inhabited,4/11/14,Forereef,Mid,15.10564839,145.724804,11.5,42.5,5,47.5,1,46.5,47.5,5,2866502.784,742199.3023,3.86,8.241552359,4.62245026,0,0,5.266753045,2.253658834,0,1948.1,2244.4,28.1224
6810,nSPC,2014,MARIAN,Saipan,SAI-00535,SAI724,Inhabited,4/12/14,Forereef,Mid,15.15769397,145.7686505,16.05,52.5,7.5,60,17.5,20,37.5,2.5,4037886.9,657453.3571,6.141708543,7.490540649,4.455391015,0,0,2.973324655,1.047857796,0,1947.6,2237,28.4396
6878,nSPC,2014,MARIAN,Sarigan,SAR-00137,SAR243,Inhabited,4/19/14,Forereef,Mid,16.70389669,145.7660189,12.65,9.5,5,14.5,1,72,73,12.5,5088185.792,597731.0769,8.5125,29.15401668,19.75723561,0,0,1.405714201,12.18942203,0,1930.1,2260.4,28.5576
4191,nSPC,2012,PRIAs,Johnston,JOH-00215,JOH11,Uninhabited,3/2/12,Forereef,Mid,16.74110807,-169.5463465,16,5,5,10,5,82.5,87.5,2,4002385.692,667681.7436,5.994451295,7.951470253,5.481928352,0,0,3.812718552,37.55478221,0,1934.156783,2229.41,26.1847
4200,nSPC,2012,PRIAs,Johnston,JOH-00213,JOH12,Uninhabited,3/3/12,Forereef,Mid,16.76880187,-169.4236135,14.95,13,32.5,45.5,5,42,47,7.5,7058063.419,1394108.645,5.062778603,19.21912265,10.00276548,0,0,7.650917482,2.947211052,0,1981.090615,2273.9,25.7168
4207,nSPC,2012,PRIAs,Johnston,JOH-00219,JOH19,Uninhabited,3/3/12,Forereef,Mid,16.77441197,-169.5052172,14.05,6.5,4,10.5,4,85,89,0.5,5622645.933,893672.6667,6.291616766,12.62334523,5.481423029,0,0,2.818976208,12.01155677,0,1973.602769,2268.29,25.5715
7164,nSPC,2014,MARIAN,Guguan,GUG-00132,GUG230,Inhabited,5/6/14,Forereef,Mid,17.31755988,145.8326705,8.55,2,20,22,1,73,74,3.5,4877680.5,892884,5.462837838,24.91514256,8.041175287,0,0,9.3195121,11.64902041,0,1942.8,2262.7,28.7677
7082,nSPC,2014,MARIAN,Alamagan,ALA-00104,ALA205,Inhabited,5/2/14,Forereef,Mid,17.6211183,145.83638,16.2,10,12.5,22.5,1.5,73,74.5,2,4982835.69,478718.55,10.40869565,41.42675707,14.21960734,0,0,48.56436272,11.48023795,0,1954.8,2292.7,27.9947
6900,nSPC,2014,MARIAN,Pagan,PAG-00349,PAG556,Inhabited,4/20/14,Forereef,Mid,18.04265359,145.7116766,15.05,7.5,2.5,10,2.5,78.5,81,5,5284467.754,810052.5405,6.523611111,17.31030656,23.44607253,0,0,25.34286042,31.35776099,0,1944.6,2280.5,28.5348
6910,nSPC,2014,MARIAN,Pagan,PAG-00359,PAG557 bad,Inhabited,4/20/14,Forereef,Mid,18.04910883,145.7302527,7.75,17.5,5.5,23,16,37.5,53.5,22.5,4979407.526,530549.1176,9.385384615,7.945654313,2.525082667,0,0,13.97710189,24.1911032,8.274846852,1950.3,2287.8,28.2537
6922,nSPC,2014,MARIAN,Pagan,PAG-00326,PAG562,Inhabited,4/21/14,Forereef,Mid,18.0776638,145.7175297,9.6,9,6,15,1,67.5,68.5,12.5,7670944.418,759705.525,10.09726027,42.47513791,15.94868668,0,0,0.776404115,8.798553503,0,1957.2,2286.2,28.2739
6898,nSPC,2014,MARIAN,Pagan,PAG-00338,PAG555,Inhabited,4/20/14,Forereef,Mid,18.09061602,145.7591141,10.05,7.5,0.5,8,17.5,66.5,84,7.5,4850851.394,518305.6765,9.359055118,58.49476007,6.079077667,0,0,17.73257364,7.976896016,0,1956.4,2279.8,28.1665
6924,nSPC,2014,MARIAN,Pagan,PAG-00339,PAG577,Inhabited,4/21/14,Forereef,Mid,18.09868494,145.7532206,10.75,4,3.5,7.5,3.5,73,76.5,15,5201381.115,822147.075,6.326582278,16.63856267,18.63764384,0,0,2.887661951,4.057989458,0,1953.3,2289.7,28.5426
6907,nSPC,2014,MARIAN,Pagan,PAG-00322,PAG556,Inhabited,4/20/14,Forereef,Mid,18.10292182,145.7720827,9.25,10,1,11,22.5,47,69.5,17,6167837.55,998293.9167,6.178378378,12.32361841,8.89692932,0,0,3.768911302,20.38108195,0,1956.9,2280.9,28.2595
5997,nSPC,2013,MHI,Hawaii,HAW-00719,HAW28,Inhabited,8/7/13,Forereef,Mid,19.10352711,-155.5312334,9,32.5,7.5,40,0,56,56,1,10673962.4,1577850,6.764877778,34.84840259,4.56023567,0,0,2.971638202,1.47785003,0,1999.517749,2280.6,25.8228
7493,nSPC,2015,MHI,Hawaii,HAW-02405,HAW1540,Inhabited,6/16/15,Forereef,Mid,19.482254,-155.941357,14.2,3,0.5,3.5,0,74,74,22.5,7718202.531,1586833.692,4.863901345,26.75603802,3.84960485,0,0,0.126094249,0.557696434,0,1998.146684,2308.94,26.2176
7498,nSPC,2015,MHI,Hawaii,HAW-01799,HAW1693,Inhabited,6/16/15,Forereef,Mid,19.491988,-155.949943,6.25,29,32.5,61.5,0,35.5,35.5,3,4039322.338,564605.5862,7.154237288,14.78443543,9.506081803,0,0,2.026564199,0.331910932,0,1976.238812,2236.68,25.8868
7497,nSPC,2015,MHI,Hawaii,HAW-01779,HAW1648,Inhabited,6/16/15,Forereef,Mid,19.575632,-155.970582,10.45,17.5,10,27.5,0,52.5,52.5,20,5026544.775,1006002.75,4.996551724,16.47283008,2.98920871,0,0,1.499768807,9.511879433,0,1993.548857,2302.29,25.8481
7491,nSPC,2015,MHI,Hawaii,HAW-01978,HAW1473,Inhabited,6/16/15,Forereef,Mid,19.612929,-155.98592,15.85,50,5,55,0,32.5,32.5,12.5,3571925.226,461037.9677,7.747572816,7.250639437,3.531749004,0,0,0.242302783,5.941196587,0,1984.693918,2296.05,25.8249
7490,nSPC,2015,MHI,Hawaii,HAW-01874,HAW1411,Inhabited,6/16/15,Forereef,Mid,19.694882,-156.048138,16.3,24,4,28,0,66,66,6,3765705.785,426950.7692,8.82,8.161456405,7.159026593,0,0,5.876474982,4.833595148,0,1989.739254,2294.85,26.9615
7495,nSPC,2015,MHI,Hawaii,HAW-01987,HAW1566,Inhabited,6/16/15,Forereef,Mid,19.714778,-156.051834,14.15,25,1.5,26.5,0,56,56,17.5,5258643.405,856244.561,6.14152036,13.62131453,4.368224033,0,0,21.04432983,0.577837376,0,1990.291132,2301.13,26.5976
5959,nSPC,2013,MHI,Hawaii,HAW-00643,HAW32,Inhabited,8/5/13,Forereef,Mid,19.74481596,-155.0538582,11.25,37.5,5,42.5,3.5,54,57.5,0,10282480.29,869570.6667,11.82477823,10.06336541,2.538953394,0,0,0.083435696,0.54820036,0,2010.537787,2274.04,25.4084
5962,nSPC,2013,MHI,Hawaii,HAW-00640,HAW16,Inhabited,8/5/13,Forereef,Mid,19.74691001,-155.0579811,11.1,35,22.5,57.5,17.5,25,42.5,0,11368843.16,2316809.75,4.907111237,17.8894369,3.327256252,0,0,0.739853209,0.645366509,0,1994.356423,2287.23,25.5029
5930,nSPC,2013,MHI,Hawaii,HAW-00431,HAW14,Inhabited,8/3/13,Forereef,Mid,20.19613224,-155.7117529,11.35,5,1.5,6.5,13,48,61,32.5,26109157.31,6113292.167,4.270883281,12.99924583,24.70658277,0,0,0.06866449,1.456622831,0,1997.118129,2311.21,25.3588
5923,nSPC,2013,MHI,Hawaii,HAW-00416,HAW09,Inhabited,8/3/13,Forereef,Mid,20.22456148,-155.7370606,10.15,10,7.5,17.5,5,74.5,79.5,3,10105908.35,982474.6,10.28617773,8.575139436,7.066827133,0,0,0.633631904,4.354990547,0,1998.146684,2308.94,26.2176
5931,nSPC,2013,MHI,Hawaii,HAW-00448,HAW23,Inhabited,8/3/13,Forereef,Mid,20.25059533,-155.7924614,12.9,10,3,13,5,77,82,5,14409241.77,1561019.6,9.230660377,28.8295371,14.19561857,0,0,15.20865902,10.41730004,0,1997.2167,2315.92,25.3373
5933,nSPC,2013,MHI,Hawaii,HAW-00407,HAW25,Inhabited,8/3/13,Forereef,Mid,20.26759828,-155.8473238,14.9,5,3,8,5,62,67,25,20742416.1,4249676,4.880940594,13.43870915,4.637080494,0,0,0.891320284,1.700693788,0,2003.272205,2314.49,24.9282
6993,nSPC,2014,MARIAN,Asuncion,ASC-00196,ASC324,Uninhabited,4/24/14,Forereef,Mid,19.70220982,145.4163556,16.25,12.5,3,15.5,6.5,47,53.5,28.5,5615239.208,720046.7027,7.7984375,11.86581467,12.33640223,0,0,16.51832192,17.57474355,32.10678417,1982.8,2299.4,25.6664
6992,nSPC,2014,MARIAN,Asuncion,ASC-00193,ASC04,Uninhabited,4/24/14,Forereef,Mid,19.70793407,145.4039913,9.1,2,10.5,12.5,0,70,70,17.5,6643780.92,1447058.143,4.591232877,16.35445721,6.01962754,0,0,8.805035509,32.01280897,0,1978.9,2306.9,25.4696
7059,nSPC,2014,MARIAN,Maug,MAU-00186,MAU539,Uninhabited,4/28/14,Forereef,Mid,20.01139551,145.2186134,17.15,2,1.5,3.5,0.5,96,96.5,0,8036337.032,960358.3421,8.368060837,47.64788068,7.25696449,0,0,1.159476745,16.80505432,0,2018.1,2306.6,25.6118
7060,nSPC,2014,MARIAN,Maug,MAU-00294,MAU541,Uninhabited,4/28/14,Forereef,Mid,20.01779099,145.2124317,13.75,8.5,0,8.5,30,44,74,17.5,8042471.64,1567976.7,5.12920354,15.98122081,2.949230679,0,0,12.61149589,6.975732061,0,1977.4,2305.1,26.3147
7063,nSPC,2014,MARIAN,Maug,MAU-00218,MAU577,Uninhabited,4/28/14,Forereef,Mid,20.01808494,145.2299857,11.2,12.5,5,17.5,5.5,62,67.5,15,6260806.08,840483.0857,7.449056604,18.11437705,8.958964248,0,0,5.0033051,4.29682945,0,1985,2301.3,25.8253
7061,nSPC,2014,MARIAN,Maug,MAU-00281,MAU575,Uninhabited,4/28/14,Forereef,Mid,20.02784139,145.211487,13.8,13,1,14,6,67,73,12.5,8764821.782,1278043.421,6.858,18.84479253,7.237729337,0,0,18.53347319,11.77002335,16.18765917,1971.8,2290.2,25.0124
7041,nSPC,2014,MARIAN,Farallon de Pajaros,FDP-00132,FDP221,Uninhabited,4/26/14,Forereef,Mid,20.55010588,144.902397,17.1,2,0,2,0.5,92.5,93,5,8345820.162,1444516.769,5.777586207,16.46103582,14.47836819,0,0,1.604003322,62.46354209,0,1975.6,2297.6,26.1838
5144,nSPC,2012,MHI,Maui,MAI-00294,MAI14,Inhabited,9/5/12,Forereef,Mid,20.61876959,-156.4472127,16.15,3,3,6,0.5,66,66.5,20,29343339.56,6750392.933,4.346908373,4.911255312,0.946005491,0,0,0.084815304,0,0,1995.222161,2307.91,26.6216
5143,nSPC,2012,MHI,Maui,MAI-00367,MAI07,Inhabited,9/5/12,Forereef,Mid,20.72269924,-156.457215,13.4,65,3.5,68.5,1,25.5,26.5,5,3813768.64,616112.8571,6.19004878,15.14345686,6.270500407,0,0,1.809082429,7.603047736,0,2004.408478,2309.36,25.0474
5115,nSPC,2012,MHI,Maui,MAI-00398,MAUI_15FT,Inhabited,9/3/12,Forereef,Mid,20.81926781,-156.6312549,6.25,15,3,18,1,36,37,45,7833078.54,1698340.364,4.612195946,2.285166701,2.208103755,0,0,0.945191923,3.60814914,0,2007.72962,2311.52,24.9211
5104,nSPC,2012,MHI,Maui,MAI-00322,MAI_WND,Inhabited,9/3/12,Forereef,Mid,20.92325873,-156.6978211,7.7,3,0,3,45,14.5,59.5,37.5,12486592.1,1763247.375,7.081588367,0.270478498,0.471697361,0,0,1.304013239,0.346823631,0,1998.022895,2316.14,25.4234
7754,nSPC,2015,MHI,Maui,MAI-01680,MAI1587,Inhabited,6/30/15,Forereef,Mid,20.925925,-156.413936,11.6,45,1.5,46.5,8.5,32.5,41,12.5,2784430.6,493365.3333,5.64375,25.17974508,8.63004386,0,0,1.28633525,20.55327781,0,2011.832658,2309.19,26.3899
7765,nSPC,2015,MHI,Maui,MAI-01645,MAI1488,Inhabited,6/30/15,Forereef,Mid,20.938654,-156.48676,14.1,65,1,66,0,26.5,26.5,7.5,4902702.368,492594.45,9.952816901,18.49567856,2.635552426,0,0,6.04462358,2.779559918,0,2008.547961,2316.11,25.2133
5128,nSPC,2012,MHI,Lanai,LAN-00199,LAN07,Inhabited,9/4/12,Forereef,Mid,20.7340511,-156.887695,10.6,45,10,55,15,30,45,0,3295813.08,570894.8182,5.773065327,20.72259954,2.223342353,0,0,25.64065956,0.580049394,0,1992.725315,2303.5,26.5348
7585,nSPC,2015,MHI,Lanai,LAN-01418,LAN1254,Inhabited,6/21/15,Forereef,Mid,20.787987,-156.992267,8.35,27.5,3,30.5,1,62,63,6.5,3771932.15,508783,7.413636364,22.4509956,3.867027879,0,0,5.992570657,1.386548558,0,1991.902811,2307.61,26.4177
5123,nSPC,2012,MHI,Lanai,LAN-00234,LAN05,Inhabited,9/4/12,Forereef,Mid,20.79500078,-156.990998,11.65,11.5,2.5,14,6,72.5,78.5,7.5,6065002.944,1285421.8,4.718297872,1.961439339,4.346861218,0,0,0.701207395,0,0,1997.997932,2290.61,26.127
7589,nSPC,2015,MHI,Lanai,LAN-01330,LAN1248,Inhabited,6/21/15,Forereef,Mid,20.83448,-156.998395,16.7,17.5,0,17.5,1,66.5,67.5,15,5475138.016,682840.3421,8.018181818,2.768791956,3.931906705,0,0,1.763048235,1.891207485,0,1996.804041,2299.99,26.1275
7581,nSPC,2015,MHI,Lanai,LAN-01383,LAN1269,Inhabited,6/21/15,Forereef,Mid,20.886446,-157.061158,13.15,6.5,3.5,10,0.5,78.5,79,11,3898377.851,918809.5946,4.242857143,27.64834205,5.70604594,0,0,26.0131592,5.20066034,0,1996.565625,2309.49,26.2805
7601,nSPC,2015,MHI,Molokai,MOL-01527,MOL1509,Inhabited,6/22/15,Forereef,Mid,21.06439,-156.988106,14,45,0,45,0,40,40,15,2747428.2,507461.4857,5.4140625,6.183724307,2.820624141,0,0,0.212995082,0.37588658,0,2006.43008,2303.72,26.3721
7614,nSPC,2015,MHI,Molokai,MOL-01556,MOL1461,Inhabited,6/22/15,Forereef,Mid,21.08506,-157.114597,14.8,57.5,4.5,62,5,33,38,0,2972217.78,367711.35,8.083018868,5.955672832,3.058027141,0,0,1.256029901,0.361369477,0,2001.351963,2292.5,26.6791
5152,nSPC,2012,MHI,Molokai,MOL-00344,MOL03,Inhabited,9/6/12,Forereef,Mid,21.18242575,-157.2549909,11.45,3.5,0.5,4,70,22.5,92.5,3.5,11524012.7,1406801.913,8.191638492,0.517686204,3.979523598,0,0,0.086778234,0,0,2000.055497,2311.6,26.4166
7475,nSPC,2015,MHI,Molokai,MOL-01546,MOL1435,Inhabited,6/15/15,Forereef,Mid,21.186991,-157.013833,15.85,4,0.5,4.5,0,84.5,84.5,11,12413380.14,1137823.8,10.9097561,31.24990932,11.62765853,0,0,5.340539555,7.732431644,0,2013.711882,2324.09,25.5253
5156,nSPC,2012,MHI,Molokai,MOL-00346,MOL07,Inhabited,9/6/12,Forereef,Mid,21.19357997,-157.2550131,12.35,3.5,2,5.5,40,39.5,79.5,9,8291321.243,1010992.778,8.20116763,0.251094639,2.732555899,0,0,0.011314855,0.009478469,0,2006.950427,2316.4,25.6588
